Do you drink coffee?;How often do you drink coffee?;How many cups of coffee do you usually drink per day?;At what time do you usually have your first coffee of the day?;Where do you most often drink coffee?;How do you usually prepare or get your coffee?;What type of coffee (coffee drink) do you drink most often?;What do you usually add to your coffee?;Do you prefer your coffee strong or mild?;What are your main reasons for drinking coffee? ;Do you experience any negative effects from drinking coffee?;In your opinion, what is the overall impact of coffee on health?;Which of the following statements best describes your relationship with coffee? ;Why don’t you drink coffee?;What do you drink instead of coffee?;Age group;Gender;Country of residence;Cleaned Country;ISO Code
Yes;Several times a week;2;Within the first hour after waking up (~6–10 AM);At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Flavored syrup (vanilla, caramel, etc.);Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine, To warm up – especially on cold days;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;45-54;Male;UK;United Kingdom;GB
Yes;Every day;3–4;No fixed time / it varies;At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Iced or dessert coffee (cold, e.g., frappé, iced cold brew, etc.);Sugar / sweetener;Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Male;bgd;Bangladesh;BD
Yes;Every day;1;Right after waking up (~5–9 AM);No single dominant place;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Sugar / sweetener;Rather mild;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;Sleep problems (e.g., insomnia or difficulty falling asleep);Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;35-44;Male;states;United States;US
Yes;Several times a week;2;Late morning (9–12);To go (on the way, e.g., in the car or on public transport);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather mild;Relaxation – it’s a moment of pause and rest;Heart palpitations / rapid heartbeat;I have no opinion / hard to say;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Female;US;United States;US
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Tea;18-24;Male;Spain;Spain;ES
No;;;;;;;;;;;;;For health reasons (e.g., doctor advised against it);Energy drinks;18-24;Male;Canada;Canada;CA
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Female;United Kingdom;United Kingdom;GB
Yes;Every day;3–4;Late morning (9–12);At home;Instant coffee (soluble – with hot water);Instant coffee (soluble, in a cup);Nothing – I drink it black (without additives);Definitely strong (very intense flavor / high caffeine content);Relaxation – it’s a moment of pause and rest;Heart palpitations / rapid heartbeat;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Male;United Kingdom;United Kingdom;GB
Yes;Once a week;1;Late morning (9–12);In a café (on site);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine;Heart palpitations / rapid heartbeat;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;DE;Germany;DE
No;;;;;;;;;;;;;I don’t like the taste;Nothing – I don’t need stimulating drinks;18-24;Female;france;France;FR
Yes;Several times a week;2;Right after waking up (~5–9 AM);To go (on the way, e.g., in the car or on public transport);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather mild;Routine / habit – I drink it out of habit, it’s part of my daily routine, Energy / stimulation – to wake up, get an energy boost;Stomach issues (acid reflux, heartburn, stomach pain);Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Male;america;United States;US
Yes;Every day;3–4;Late afternoon (3–6 PM);At home;French press / moka pot (plunger pot or moka pot);Espresso (small, very strong coffee ~30 ml);Sugar / sweetener;Rather strong;Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;USA;United States;US
Yes;Every day;3–4;No fixed time / it varies;At work / school / university;I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine, Social aspect – I drink coffee during social or work gatherings;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;spain;Spain;ES
Yes;Several times a week;1;Late morning (9–12);To go (on the way, e.g., in the car or on public transport);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Other;Rather mild;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine, Concentration – coffee helps me focus and work more effectively;Heart palpitations / rapid heartbeat;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;USA;United States;US
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Water;18-24;Female;gre;Greece;GR
Yes;Every day;3–4;Late morning (9–12);At home;Instant coffee (soluble – with hot water);Cappuccino (coffee with milk and foam, classic cappuccino);Plant-based milk (e.g., soy, oat, almond);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);I like coffee, but I could do without it – it’s not a necessity.;;;25-34;Female;Bangladesh;Bangladesh;BD
Yes;Several times a week;2;Evening;At work / school / university;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Sugar / sweetener;Rather mild;Routine / habit – I drink it out of habit, it’s part of my daily routine, Relaxation – it’s a moment of pause and rest;Nervousness / jitters (anxiety, shaking hands after coffee), Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Female;US;United States;US
Yes;Several times a month;1;Late morning (9–12);At home;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, To warm up – especially on cold days;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Female;czech republic;Czechia;CZ
Yes;Several times a week;2;Right after waking up (~5–9 AM);To go (on the way, e.g., in the car or on public transport);Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Other (your favorite coffee type not listed above);Flavored syrup (vanilla, caramel, etc.);It depends – I don’t have a fixed preference (e.g., depends on the time of day);Taste and enjoyment – I simply like the taste of coffee, Concentration – coffee helps me focus and work more effectively;Heart palpitations / rapid heartbeat;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;USA;United States;US
Yes;Every day;5 or more;Late morning (9–12);No single dominant place;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Spices (e.g., cinnamon, cardamom);Rather strong;Energy / stimulation – to wake up, get an energy boost, Social aspect – I drink coffee during social or work gatherings;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Female;Poland;Poland;PL
Yes;Several times a week;2;Late morning (9–12);To go (on the way, e.g., in the car or on public transport);Instant coffee (soluble – with hot water);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Relaxation – it’s a moment of pause and rest;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;malaysia;Malaysia;MY
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Water;35-44;Female;United Kingdom;United Kingdom;GB
No;;;;;;;;;;;;;I don’t like the taste;Energy drinks;25-34;Female;Philippines;Philippines;PH
No;;;;;;;;;;;;;I don’t like the taste;Nothing – I don’t need stimulating drinks;18-24;Male;canada;Canada;CA
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;18-24;Female;Pilipinas;Philippines;PH
Yes;Every day;1;Late morning (9–12);At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Plant-based milk (e.g., soy, oat, almond);Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost, Concentration – coffee helps me focus and work more effectively;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;nigeria;Nigeria;NG
No;;;;;;;;;;;;;I don’t like the taste;Nothing – I don’t need stimulating drinks;18-24;Male;Norway;Norway;NO
Yes;Every day;2;Late morning (9–12);To go (on the way, e.g., in the car or on public transport);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Instant coffee (soluble, in a cup);Sugar / sweetener;Rather strong;Relaxation – it’s a moment of pause and rest;Heart palpitations / rapid heartbeat;Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Female;USA;United States;US
Yes;Several times a month;1;No fixed time / it varies;To go (on the way, e.g., in the car or on public transport);Traditional boiled coffee (“Turkish style” or grounds brewed directly);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Definitely mild (light flavor or low caffeine content);Concentration – coffee helps me focus and work more effectively;Heart palpitations / rapid heartbeat;Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;55+;Male;UK;United Kingdom;GB
Yes;Every day;1;Evening;At home;Instant coffee (soluble – with hot water);Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);It depends – I don’t have a fixed preference (e.g., depends on the time of day);Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;Stomach issues (acid reflux, heartburn, stomach pain), Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Positive – drinking coffee mostly benefits health (e.g., health properties);I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;us;United States;US
Yes;Several times a month;1;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Milk or cream (dairy);Rather strong;Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;Heart palpitations / rapid heartbeat;Positive – drinking coffee mostly benefits health (e.g., health properties);I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Female;England;United Kingdom;GB
Yes;Several times a month;1;Right after waking up (~5–9 AM);At home;French press / moka pot (plunger pot or moka pot);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather strong;Energy / stimulation – to wake up, get an energy boost;Withdrawal symptoms (e.g., headache or irritability if I skip coffee), Heart palpitations / rapid heartbeat;Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Female;belgium;Belgium;BE
Yes;Every day;1;No fixed time / it varies;At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather mild;Taste and enjoyment – I simply like the taste of coffee, Social aspect – I drink coffee during social or work gatherings;Sleep problems (e.g., insomnia or difficulty falling asleep), Nervousness / jitters (anxiety, shaking hands after coffee);Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;holland;Netherlands;NL
No;;;;;;;;;;;;;I don’t like the taste;Water;18-24;Female;spain;Spain;ES
Yes;Every day;1;Early afternoon (12–3 PM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Espresso (small, very strong coffee ~30 ml);Nothing – I drink it black (without additives);Definitely mild (light flavor or low caffeine content);Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine, Social aspect – I drink coffee during social or work gatherings;Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Female;Poland;Poland;PL
Yes;Every day;2;Right after waking up (~5–9 AM);At home;Instant coffee (soluble – with hot water);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather strong;Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;it;Italy;IT
Yes;Every day;1;Evening;At home;French press / moka pot (plunger pot or moka pot);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;Bharat;India;IN
Yes;Every day;1;Late afternoon (3–6 PM);At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Other;Rather strong;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine, Relaxation – it’s a moment of pause and rest;Withdrawal symptoms (e.g., headache or irritability if I skip coffee), Heart palpitations / rapid heartbeat;Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;35-44;Female;Finland;Finland;FI
No;;;;;;;;;;;;;I don’t like the taste;Water;18-24;Female;straya;Australia;AU
Yes;Several times a week;3–4;Within the first hour after waking up (~6–10 AM);At home;French press / moka pot (plunger pot or moka pot);Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Milk or cream (dairy);Rather mild;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine, To warm up – especially on cold days;Sleep problems (e.g., insomnia or difficulty falling asleep);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;Netherlands;Netherlands;NL
No;;;;;;;;;;;;;I don’t like the taste;Energy drinks;18-24;Male;France;France;FR
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;35-44;Female;United Kingdom;United Kingdom;GB
Yes;Every day;2;Late morning (9–12);In a café (on site);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Other;Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine, Relaxation – it’s a moment of pause and rest;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Female;austria;Austria;AT
