Index;What are your main reasons for drinking coffee? 
284;Routine / habit
286;Routine / habit
289;Routine / habit
290;Routine / habit
292;Routine / habit
294;Routine / habit
301;Routine / habit
311;Routine / habit
312;Routine / habit
313;Routine / habit
317;Routine / habit
318;Routine / habit
323;Routine / habit
4;Concentration
5;Concentration
6;Social aspect
11;To warm up
16;Social aspect
17;To warm up
18;Social aspect
20;Concentration
20;Social aspect
21;Concentration
22;Relaxation
23;Concentration
24;Relaxation
27;Concentration
28;Relaxation
30;To warm up
33;Relaxation
37;Relaxation
42;Social aspect
43;Concentration
46;Relaxation
47;To warm up
48;Concentration
49;Social aspect
50;Relaxation
55;Concentration
57;Relaxation
58;Concentration
62;Social aspect
64;Social aspect
67;Relaxation
69;To warm up
72;Relaxation
78;Social aspect
83;To warm up
84;Concentration
90;Relaxation
97;Relaxation
98;Social aspect
101;Relaxation
102;To warm up
104;Social aspect
107;Relaxation
107;To warm up
115;Concentration
120;Concentration
124;Concentration
124;Relaxation
125;Social aspect
132;Concentration
133;Relaxation
136;Concentration
137;Relaxation
137;Social aspect
142;Concentration
144;Social aspect
145;Concentration
154;Social aspect
156;To warm up
157;Social aspect
163;Concentration
163;Relaxation
167;To warm up
174;Concentration
174;Relaxation
175;Concentration
176;Concentration
178;Relaxation
181;Relaxation
186;Relaxation
188;Concentration
190;Relaxation
191;Relaxation
191;Social aspect
194;Social aspect
195;Social aspect
201;Concentration
203;Relaxation
205;To warm up
207;Relaxation
208;Concentration
209;Concentration
209;Relaxation
210;Concentration
210;Relaxation
216;Relaxation
221;Concentration
224;Relaxation
225;Social aspect
230;Concentration
233;Concentration
234;Relaxation
238;Concentration
244;Relaxation
252;Concentration
252;Social aspect
254;Social aspect
256;Concentration
261;Concentration
285;Concentration
296;Relaxation
299;Concentration
302;Social aspect
303;Concentration
308;Concentration
310;Relaxation
311;Concentration
320;Concentration
