Index;Do you experience any negative effects from drinking coffee?
124;Stomach issues (acid reflux, heartburn, stomach pain)
132;Nervousness / jitters (anxiety, shaking hands after coffee)
133;Nervousness / jitters (anxiety, shaking hands after coffee)
137;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
139;Sleep problems (e.g., insomnia or difficulty falling asleep)
142;Stomach issues (acid reflux, heartburn, stomach pain)
143;Stomach issues (acid reflux, heartburn, stomach pain)
150;Sleep problems (e.g., insomnia or difficulty falling asleep)
150;Nervousness / jitters (anxiety, shaking hands after coffee)
152;Sleep problems (e.g., insomnia or difficulty falling asleep)
152;Nervousness / jitters (anxiety, shaking hands after coffee)
153;Nervousness / jitters (anxiety, shaking hands after coffee)
153;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
156;Stomach issues (acid reflux, heartburn, stomach pain)
157;Nervousness / jitters (anxiety, shaking hands after coffee)
164;Heart palpitations / rapid heartbeat
164;Stomach issues (acid reflux, heartburn, stomach pain)
167;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
168;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
170;Sleep problems (e.g., insomnia or difficulty falling asleep)
170;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
172;Heart palpitations / rapid heartbeat
175;Heart palpitations / rapid heartbeat
175;Stomach issues (acid reflux, heartburn, stomach pain)
178;Sleep problems (e.g., insomnia or difficulty falling asleep)
178;Heart palpitations / rapid heartbeat
180;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
191;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
195;Nervousness / jitters (anxiety, shaking hands after coffee)
195;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
196;Nervousness / jitters (anxiety, shaking hands after coffee)
201;Heart palpitations / rapid heartbeat
203;Heart palpitations / rapid heartbeat
211;Sleep problems (e.g., insomnia or difficulty falling asleep)
214;Heart palpitations / rapid heartbeat
217;Nervousness / jitters (anxiety, shaking hands after coffee)
221;Heart palpitations / rapid heartbeat
221;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
222;Heart palpitations / rapid heartbeat
225;Nervousness / jitters (anxiety, shaking hands after coffee)
226;Stomach issues (acid reflux, heartburn, stomach pain)
228;Nervousness / jitters (anxiety, shaking hands after coffee)
228;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
230;Heart palpitations / rapid heartbeat
232;Sleep problems (e.g., insomnia or difficulty falling asleep)
233;Heart palpitations / rapid heartbeat
233;Stomach issues (acid reflux, heartburn, stomach pain)
235;Stomach issues (acid reflux, heartburn, stomach pain)
235;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
238;Sleep problems (e.g., insomnia or difficulty falling asleep)
239;Sleep problems (e.g., insomnia or difficulty falling asleep)
239;Nervousness / jitters (anxiety, shaking hands after coffee)
245;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
251;Heart palpitations / rapid heartbeat
252;Heart palpitations / rapid heartbeat
254;Sleep problems (e.g., insomnia or difficulty falling asleep)
254;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
256;Sleep problems (e.g., insomnia or difficulty falling asleep)
256;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
263;Sleep problems (e.g., insomnia or difficulty falling asleep)
264;Heart palpitations / rapid heartbeat
269;Sleep problems (e.g., insomnia or difficulty falling asleep)
270;Nervousness / jitters (anxiety, shaking hands after coffee)
270;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
278;Nervousness / jitters (anxiety, shaking hands after coffee)
278;Heart palpitations / rapid heartbeat
282;Heart palpitations / rapid heartbeat
283;Sleep problems (e.g., insomnia or difficulty falling asleep)
291;Stomach issues (acid reflux, heartburn, stomach pain)
292;Sleep problems (e.g., insomnia or difficulty falling asleep)
292;Heart palpitations / rapid heartbeat
299;Nervousness / jitters (anxiety, shaking hands after coffee)
299;Stomach issues (acid reflux, heartburn, stomach pain)
301;Stomach issues (acid reflux, heartburn, stomach pain)
301;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
302;Stomach issues (acid reflux, heartburn, stomach pain)
302;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
303;Nervousness / jitters (anxiety, shaking hands after coffee)
307;Stomach issues (acid reflux, heartburn, stomach pain)
308;Sleep problems (e.g., insomnia or difficulty falling asleep)
308;Heart palpitations / rapid heartbeat
317;Sleep problems (e.g., insomnia or difficulty falling asleep)
317;Stomach issues (acid reflux, heartburn, stomach pain)
318;Stomach issues (acid reflux, heartburn, stomach pain)
